section,name,metric,value
variant,H0,leaf_count,120
variant,H0,retry_leaf_count,0
variant,H0,avg_prompt_tokens,350.7583333333333
variant,H0,avg_retry_prompt_tokens,0.0
variant,H0,total_prompt_tokens,42091
variant,H3,leaf_count,344
variant,H3,retry_leaf_count,224
variant,H3,avg_prompt_tokens,320.57848837209303
variant,H3,avg_retry_prompt_tokens,308.42857142857144
variant,H3,total_prompt_tokens,110279
variant,H4,leaf_count,277
variant,H4,retry_leaf_count,76
variant,H4,avg_prompt_tokens,407.3718411552347
variant,H4,avg_retry_prompt_tokens,611.3815789473684
variant,H4,total_prompt_tokens,112842
variant,generic-retry,leaf_count,352
variant,generic-retry,retry_leaf_count,232
variant,generic-retry,avg_prompt_tokens,412.8863636363636
variant,generic-retry,avg_retry_prompt_tokens,448.9008620689655
variant,generic-retry,total_prompt_tokens,145336
comparison,H3_vs_H0,avg_prompt_token_delta,-30.179844961240292
comparison,H3_vs_H0,avg_retry_prompt_token_delta,308.42857142857144
comparison,H3_vs_H0,total_prompt_token_delta,68188
comparison,generic-retry_vs_H3,avg_prompt_token_delta,92.30787526427059
comparison,generic-retry_vs_H3,avg_retry_prompt_token_delta,140.47229064039408
comparison,generic-retry_vs_H3,total_prompt_token_delta,35057
comparison,H4_vs_generic-retry,avg_prompt_token_delta,-5.5145224811289495
comparison,H4_vs_generic-retry,avg_retry_prompt_token_delta,162.48071687840292
comparison,H4_vs_generic-retry,total_prompt_token_delta,-32494
comparison,H4_vs_H3,avg_prompt_token_delta,86.79335278314164
comparison,H4_vs_H3,avg_retry_prompt_token_delta,302.953007518797
comparison,H4_vs_H3,total_prompt_token_delta,2563
