section,name,metric,value
variant,H0,leaf_count,120
variant,H0,retry_leaf_count,0
variant,H0,avg_prompt_tokens,350.7583333333333
variant,H0,avg_retry_prompt_tokens,0.0
variant,H0,total_prompt_tokens,42091
variant,H3,leaf_count,369
variant,H3,retry_leaf_count,249
variant,H3,avg_prompt_tokens,329.9539295392954
variant,H3,avg_retry_prompt_tokens,323.5421686746988
variant,H3,total_prompt_tokens,121753
variant,H4,leaf_count,319
variant,H4,retry_leaf_count,116
variant,H4,avg_prompt_tokens,443.00940438871476
variant,H4,avg_retry_prompt_tokens,637.5603448275862
variant,H4,total_prompt_tokens,141320
variant,generic-retry,leaf_count,480
variant,generic-retry,retry_leaf_count,360
variant,generic-retry,avg_prompt_tokens,446.0083333333333
variant,generic-retry,avg_retry_prompt_tokens,480.2583333333333
variant,generic-retry,total_prompt_tokens,214084
comparison,H3_vs_H0,avg_prompt_token_delta,-20.80440379403791
comparison,H3_vs_H0,avg_retry_prompt_token_delta,323.5421686746988
comparison,H3_vs_H0,total_prompt_token_delta,79662
comparison,generic-retry_vs_H3,avg_prompt_token_delta,116.05440379403791
comparison,generic-retry_vs_H3,avg_retry_prompt_token_delta,156.7161646586345
comparison,generic-retry_vs_H3,total_prompt_token_delta,92331
comparison,H4_vs_generic-retry,avg_prompt_token_delta,-2.9989289446185694
comparison,H4_vs_generic-retry,avg_retry_prompt_token_delta,157.30201149425284
comparison,H4_vs_generic-retry,total_prompt_token_delta,-72764
comparison,H4_vs_H3,avg_prompt_token_delta,113.05547484941934
comparison,H4_vs_H3,avg_retry_prompt_token_delta,314.01817615288735
comparison,H4_vs_H3,total_prompt_token_delta,19567
